,experience_level,employment_type,salary_in_usd,company_location_fact,employee_residence_fact,job_title_fact
535,3,1,213120.0,1,1,4
536,3,1,112900.0,1,1,2
537,3,1,155000.0,1,1,1
538,2,1,141300.0,1,1,0
539,2,1,102100.0,1,1,0
540,3,1,115934.0,1,1,2
541,3,1,81666.0,1,1,2
542,2,1,206699.0,1,1,1
543,2,1,99100.0,1,1,1
544,3,1,130000.0,1,1,1
545,3,1,115000.0,1,1,1
546,3,1,110500.0,1,1,1
547,3,1,130000.0,1,1,1
548,3,1,99050.0,1,1,2
549,3,1,160000.0,1,1,1
550,3,1,205300.0,1,1,0
551,3,1,140400.0,1,1,0
552,3,1,176000.0,1,1,0
553,3,1,144000.0,1,1,0
554,3,1,200100.0,1,1,1
555,3,1,160000.0,1,1,1
556,3,1,145000.0,1,1,1
557,3,1,70500.0,1,1,1
558,3,1,205300.0,1,1,0
559,3,1,140400.0,1,1,0
560,3,1,205300.0,1,1,4
561,3,1,184700.0,1,1,4
562,3,1,175100.0,1,1,1
563,3,1,140250.0,1,1,1
564,3,1,116150.0,1,1,2
565,3,1,54000.0,1,1,1
566,3,1,170000.0,1,1,2
567,2,1,65438.0,0,0,2
568,3,1,80000.0,1,1,2
569,3,1,140000.0,1,1,0
570,3,1,210000.0,1,1,0
571,3,1,140000.0,1,1,0
572,3,1,100000.0,1,1,2
573,3,1,69000.0,1,1,2
574,3,1,210000.0,1,1,0
575,3,1,140000.0,1,1,0
576,3,1,210000.0,1,1,0
577,3,1,150075.0,1,1,2
578,3,1,100000.0,1,1,1
579,3,1,25000.0,1,1,1
580,3,1,126500.0,1,1,2
581,3,1,106260.0,1,1,2
582,3,1,220110.0,1,1,1
583,3,1,160080.0,1,1,1
584,3,1,105000.0,1,1,2
585,3,1,110925.0,1,1,2
586,2,1,45807.0,0,0,2
587,3,1,140000.0,1,1,0
588,3,1,99000.0,1,1,2
589,3,1,60000.0,1,1,2
590,3,1,192564.0,1,1,4
591,3,1,144854.0,1,1,4
592,3,1,230000.0,1,1,0
593,3,1,150000.0,1,1,0
594,3,1,150260.0,1,1,4
595,3,1,109280.0,1,1,4
596,3,1,210000.0,1,1,0
597,3,1,170000.0,1,1,2
598,2,1,160000.0,1,1,0
599,2,1,130000.0,1,1,0
600,1,1,67000.0,0,0,2
601,1,1,52000.0,0,0,2
602,3,1,154000.0,1,1,1
603,3,1,126000.0,1,1,1
604,3,1,129000.0,1,1,2
605,3,1,150000.0,1,1,2
606,2,1,200000.0,1,0,4
607,1,1,4800.0,1,1,4
608,1,1,4800.0,1,1,4
609,1,1,12000.0,1,1,4
610,1,1,3600.0,1,1,4
611,1,1,7200.0,1,1,4
612,1,1,1200.0,1,1,4
613,1,1,2304.0,1,1,4
614,1,1,4800.0,1,1,4
615,1,1,3600.0,1,1,4
616,1,1,7200.0,1,1,4
617,1,1,3600.0,1,1,4
618,1,1,2880.0,1,1,4
619,1,1,10800.0,1,1,4
620,2,2,288.0,1,1,4
621,1,1,7200.0,1,1,4
622,1,1,2736.0,1,1,4
623,1,1,7200.0,1,1,4
624,1,1,4320.0,1,1,4
625,1,1,12000.0,1,1,4
626,1,1,6000.0,1,1,4
627,1,1,4896.0,1,1,4
628,1,1,3600.0,1,1,4
629,1,1,9600.0,1,1,4
630,1,1,2736.0,1,1,4
631,1,1,1200.0,1,1,4
632,1,1,6000.0,1,1,4
633,1,1,2400.0,1,1,4
634,1,1,6000.0,1,1,4
635,1,1,2736.0,1,1,4
636,1,1,8496.0,1,1,4
637,2,2,4752.0,1,1,4
638,1,1,8400.0,1,1,4
639,1,1,6000.0,1,1,4
640,1,1,6000.0,1,1,4
641,1,1,10800.0,1,1,4
642,1,1,2400.0,1,1,4
643,1,1,2736.0,1,1,4
644,1,1,4800.0,1,1,4
645,1,1,7200.0,1,1,4
646,1,1,4800.0,1,1,4
647,1,1,6000.0,1,1,4
648,1,1,2592.0,1,1,4
649,1,1,2592.0,1,1,4
650,1,1,3600.0,1,1,4
651,1,1,6480.0,1,1,4
652,1,1,4800.0,1,1,4
653,1,1,6000.0,1,1,4
654,1,1,4800.0,1,1,4
655,1,1,1200.0,1,1,4
656,1,1,3024.0,1,1,4
657,1,1,8400.0,1,1,4
658,1,1,1200.0,1,1,4
659,1,1,2400.0,1,1,4
660,1,1,1872.0,1,1,4
661,2,2,4176.0,1,1,4
662,1,1,7200.0,1,1,4
663,1,1,3600.0,1,1,4
664,1,1,10368.0,1,1,4
665,1,1,1440.0,1,1,4
666,1,1,4800.0,1,1,4
667,1,1,2016.0,1,1,4
668,1,1,4800.0,1,1,4
669,2,2,1152.0,1,1,4
670,1,1,12000.0,1,1,4
671,1,1,5040.0,1,1,4
672,1,1,2880.0,1,1,4
673,2,2,864.0,1,1,4
674,1,1,8400.0,1,1,4
675,1,1,4752.0,1,1,4
676,1,1,3168.0,1,1,4
677,1,1,6000.0,1,1,4
678,1,1,12000.0,1,1,4
679,1,1,8064.0,1,1,4
680,1,1,3312.0,1,1,4
681,1,1,9600.0,1,1,4
682,1,1,2400.0,1,1,4
683,1,1,5904.0,1,1,4
684,1,1,7200.0,1,1,4
685,1,1,3600.0,1,1,4
686,1,1,3600.0,1,1,4
687,1,1,5184.0,1,1,4
688,2,2,2400.0,1,1,4
689,1,1,14256.0,1,1,4
690,1,1,6000.0,1,1,4
691,1,1,6000.0,1,1,4
692,1,1,3600.0,1,1,4
693,1,1,12000.0,1,1,4
694,1,1,4800.0,1,1,4
695,1,1,6000.0,1,1,4
696,1,1,8784.0,1,1,4
697,2,2,1440.0,1,1,4
698,1,1,8208.0,1,1,4
699,1,1,6000.0,1,1,4
700,1,1,9600.0,1,1,4
701,1,1,4800.0,1,1,4
702,1,1,2400.0,1,1,4
703,1,1,33600.0,1,1,4
704,1,1,10224.0,1,1,4
705,1,1,8400.0,1,1,4
706,1,1,14400.0,1,1,4
707,1,1,10800.0,1,1,4
708,1,1,4800.0,1,1,4
709,1,1,2736.0,1,1,4
710,1,1,4800.0,1,1,4
711,1,1,4800.0,1,1,4
712,2,2,3024.0,1,1,4
713,1,1,27600.0,1,1,4
714,1,1,3600.0,1,1,4
715,1,1,4800.0,1,1,4
716,1,1,12000.0,1,1,4
717,2,2,1008.0,1,1,4
718,2,2,5616.0,1,1,4
719,2,2,9600.0,1,1,4
720,1,1,3600.0,1,1,4
721,1,1,10800.0,1,1,4
722,3,3,8400.0,1,1,4
723,1,1,10800.0,1,1,4
724,1,1,8400.0,1,1,4
725,1,1,3168.0,1,1,4
726,2,2,2880.0,1,1,4
727,1,1,7200.0,1,1,4
728,1,1,1440.0,1,1,4
729,1,1,4896.0,1,1,4
730,3,3,12000.0,1,1,4
731,1,1,2736.0,1,1,4
732,1,1,4800.0,1,1,4
733,1,1,6000.0,1,1,4
734,1,1,3600.0,1,1,4
735,1,1,8400.0,1,1,4
736,3,3,6000.0,1,1,4
737,1,1,6000.0,1,1,4
738,1,1,2736.0,1,1,4
739,1,1,6000.0,1,1,4
740,1,1,7200.0,1,1,4
741,1,1,12000.0,1,1,4
742,2,2,2592.0,1,1,4
743,1,1,14400.0,1,1,4
744,1,1,15600.0,1,1,4
745,1,1,4800.0,1,1,4
746,1,1,1440.0,1,1,4
747,1,1,2304.0,1,1,4
748,1,1,12000.0,1,1,4
749,1,1,2400.0,1,1,4
750,1,1,7200.0,1,1,4
751,1,1,3600.0,1,1,4
752,2,2,26400.0,1,1,4
753,1,1,1728.0,1,1,4
754,1,1,8064.0,1,1,4
755,1,1,3744.0,1,1,4
756,1,1,4176.0,1,1,4
757,1,1,5760.0,1,1,4
758,1,1,6000.0,1,1,4
759,1,1,2400.0,1,1,4
760,1,1,2736.0,1,1,4
761,1,1,4800.0,1,1,4
762,1,1,4896.0,1,1,4
763,1,1,6000.0,1,1,4
764,1,1,5184.0,1,1,4
765,1,1,10800.0,1,1,4
766,1,1,9600.0,1,1,4
767,1,1,7200.0,1,1,4
768,1,1,25200.0,1,1,4
769,1,1,22800.0,1,1,4
770,1,1,2160.0,1,1,4
771,1,1,6000.0,1,1,4
772,1,1,3600.0,1,1,4
773,1,1,4800.0,1,1,4
774,1,1,3024.0,1,1,4
775,1,1,6000.0,1,1,4
776,1,1,2400.0,1,1,4
777,1,1,2304.0,1,1,4
778,1,1,1200.0,1,1,4
779,1,1,10800.0,1,1,4
780,1,1,4320.0,1,1,4
781,1,1,16800.0,1,1,4
782,1,1,4800.0,1,1,4
783,1,1,3024.0,1,1,4
784,1,1,4800.0,1,1,4
785,1,1,3600.0,1,1,4
